global_idx,set,orgi_index,true_label,pred_label,top1_prob
57085,test,7085,64,67,0.13799697160720825
10472,train,10472,32,97,0.13806334137916565
34313,train,34313,27,38,0.138143390417099
52157,test,2157,31,3,0.13830092549324036
52299,test,2299,12,80,0.13847999274730682
14061,train,14061,50,42,0.1392642855644226
54576,test,4576,74,50,0.1395559161901474
44703,train,44703,74,80,0.14032131433486938
46406,train,46406,58,90,0.1403866410255432
47820,train,47820,44,63,0.14053471386432648
53922,test,3922,64,97,0.1414649784564972
37873,train,37873,73,99,0.1418645828962326
29171,train,29171,29,82,0.14195077121257782
50488,test,488,67,93,0.14216265082359314
38676,train,38676,18,18,0.1421804130077362
50434,test,434,2,2,0.1423729658126831
13560,train,13560,65,40,0.1425945907831192
53423,test,3423,19,19,0.1434062123298645
50495,test,495,69,99,0.14371688663959503
59811,test,9811,72,3,0.144892156124115
59739,test,9739,29,44,0.1455613374710083
54974,test,4974,78,18,0.14563210308551788
53184,test,3184,62,70,0.14609147608280182
54769,test,4769,22,40,0.14638888835906982
56609,test,6609,63,4,0.1465034931898117
34361,train,34361,79,79,0.14672227203845978
2240,train,2240,50,2,0.14680927991867065
28089,train,28089,12,32,0.1470460742712021
59348,test,9348,45,45,0.14732171595096588
56185,test,6185,80,58,0.14739590883255005
51496,test,1496,3,72,0.1478070467710495
57511,test,7511,27,42,0.14790035784244537
25555,train,25555,10,78,0.14799024164676666
54363,test,4363,84,48,0.14825911819934845
7704,train,7704,29,97,0.14862477779388428
59272,test,9272,33,91,0.1492331326007843
33251,train,33251,2,1,0.1495775729417801
50392,test,392,72,38,0.1500922590494156
16770,train,16770,50,4,0.15010607242584229
55032,test,5032,15,25,0.15016578137874603
40453,train,40453,74,80,0.15018968284130096
54397,test,4397,29,21,0.15023185312747955
58819,test,8819,18,70,0.15027502179145813
33104,train,33104,75,78,0.15062087774276733
57225,test,7225,34,74,0.15074443817138672
30254,train,30254,22,28,0.15094105899333954
56365,test,6365,67,96,0.15105940401554108
53876,test,3876,65,64,0.15108774602413177
53930,test,3930,15,28,0.15142129361629486
28945,train,28945,99,99,0.15192627906799316
42894,train,42894,97,72,0.15198366343975067
44922,train,44922,63,26,0.15218305587768555
29033,train,29033,32,60,0.15231771767139435
53397,test,3397,2,35,0.1527639776468277
50500,test,500,31,65,0.15327826142311096
55180,test,5180,19,34,0.15337391197681427
3981,train,3981,45,89,0.1535702496767044
56858,test,6858,84,5,0.15359951555728912
56192,test,6192,50,66,0.15360070765018463
50782,test,782,31,34,0.15435130894184113
56588,test,6588,37,33,0.15485408902168274
50937,test,937,19,15,0.15502257645130157
27672,train,27672,39,51,0.1563766598701477
31342,train,31342,24,63,0.15638691186904907
708,train,708,31,3,0.15657314658164978
53517,test,3517,65,15,0.15659841895103455
50186,test,186,40,40,0.15661875903606415
57743,test,7743,74,43,0.15735505521297455
53799,test,3799,44,49,0.1579068899154663
50936,test,936,44,80,0.15854817628860474
59620,test,9620,71,71,0.1588684320449829
50563,test,563,83,82,0.15899324417114258
10668,train,10668,54,92,0.15968336164951324
59683,test,9683,73,75,0.15994982421398163
53263,test,3263,60,25,0.16024142503738403
45032,train,45032,29,98,0.16058547794818878
13191,train,13191,21,65,0.16075186431407928
56530,test,6530,86,87,0.161017507314682
55133,test,5133,71,30,0.1611127108335495
57835,test,7835,45,45,0.16134491562843323
57700,test,7700,6,6,0.16147364675998688
56519,test,6519,10,0,0.16147427260875702
52837,test,2837,27,33,0.1628360003232956
59051,test,9051,38,64,0.16364215314388275
51429,test,1429,9,9,0.16373983025550842
22514,train,22514,80,65,0.16422295570373535
57173,test,7173,64,11,0.164559006690979
16875,train,16875,65,34,0.1648833304643631
53766,test,3766,46,2,0.16506327688694
55036,test,5036,33,59,0.16509293019771576
54452,test,4452,77,64,0.1654532104730606
50402,test,402,77,77,0.16560620069503784
54748,test,4748,79,41,0.1660005748271942
44188,train,44188,55,70,0.1665048450231552
4067,train,4067,45,44,0.16674520075321198
3243,train,3243,45,11,0.16749095916748047
56013,test,6013,76,76,0.16761347651481628
6001,train,6001,41,71,0.16802804172039032
59590,test,9590,80,74,0.1681579351425171
5118,train,5118,54,65,0.16829870641231537
50322,test,322,32,65,0.16830331087112427
50558,test,558,78,72,0.16839076578617096
53235,test,3235,25,77,0.1684872955083847
14779,train,14779,80,80,0.16923697292804718
59104,test,9104,65,97,0.16927939653396606
54085,test,4085,62,14,0.1698502004146576
52833,test,2833,84,10,0.17001239955425262
51817,test,1817,33,33,0.17007207870483398
58271,test,8271,11,46,0.17039614915847778
52386,test,2386,20,28,0.1713496893644333
57014,test,7014,87,16,0.17150679230690002
50326,test,326,19,21,0.1718388795852661
57894,test,7894,45,55,0.17197385430335999
51353,test,1353,65,65,0.17283067107200623
27995,train,27995,19,15,0.17373421788215637
51352,test,1352,33,91,0.1737554371356964
54533,test,4533,72,15,0.17411869764328003
52641,test,2641,35,78,0.1742275059223175
21107,train,21107,64,51,0.1743294596672058
55160,test,5160,45,94,0.17469486594200134
13395,train,13395,51,74,0.17516303062438965
52227,test,2227,84,93,0.1758912354707718
52759,test,2759,19,17,0.17605052888393402
428,train,428,97,50,0.17643830180168152
54026,test,4026,61,22,0.1764693558216095
21975,train,21975,65,80,0.17691779136657715
1784,train,1784,2,11,0.17705276608467102
56122,test,6122,37,76,0.17729072272777557
54417,test,4417,51,73,0.17776654660701752
57734,test,7734,52,96,0.1786964237689972
50416,test,416,27,27,0.17936527729034424
58464,test,8464,25,22,0.17982883751392365
56304,test,6304,57,57,0.18008257448673248
54601,test,4601,31,29,0.1803751289844513
52215,test,2215,74,93,0.18058371543884277
53498,test,3498,74,55,0.18067803978919983
55253,test,5253,15,88,0.18139545619487762
56515,test,6515,18,63,0.18155919015407562
50099,test,99,35,11,0.18193888664245605
51755,test,1755,54,54,0.18198198080062866
7695,train,7695,45,64,0.1820349544286728
55190,test,5190,50,50,0.18243859708309174
59325,test,9325,72,72,0.18245470523834229
53796,test,3796,49,49,0.18256142735481262
57711,test,7711,65,2,0.18263719975948334
50569,test,569,36,32,0.18295426666736603
38145,train,38145,69,85,0.18336470425128937
37870,train,37870,36,50,0.1833752542734146
53523,test,3523,81,76,0.18348421156406403
56243,test,6243,44,27,0.18352067470550537
53989,test,3989,75,75,0.18353788554668427
59761,test,9761,59,52,0.18360339105129242
55262,test,5262,67,32,0.18361791968345642
55077,test,5077,74,52,0.18397341668605804
17547,train,17547,93,65,0.18408136069774628
59730,test,9730,31,3,0.1840980350971222
58198,test,8198,61,61,0.1842171549797058
57005,test,7005,96,47,0.18439042568206787
42845,train,42845,50,23,0.1845773458480835
35608,train,35608,86,22,0.184670090675354
52835,test,2835,97,72,0.18493765592575073
45496,train,45496,0,73,0.1850440502166748
36351,train,36351,40,12,0.18590047955513
41322,train,41322,36,36,0.1865469366312027
57374,test,7374,29,82,0.18676146864891052
58179,test,8179,3,3,0.18726865947246552
54074,test,4074,95,95,0.18749941885471344
50072,test,72,67,67,0.18760855495929718
55433,test,5433,63,74,0.18781006336212158
53039,test,3039,51,33,0.18819448351860046
58800,test,8800,15,75,0.18819941580295563
53590,test,3590,19,75,0.18846836686134338
58059,test,8059,24,82,0.18853642046451569
50530,test,530,29,44,0.18863384425640106
53010,test,3010,77,57,0.18906976282596588
57724,test,7724,74,74,0.18913929164409637
52110,test,2110,74,74,0.18919271230697632
15220,train,15220,40,28,0.1894620656967163
55532,test,5532,15,30,0.18946769833564758
47681,train,47681,4,4,0.18952447175979614
58379,test,8379,4,4,0.1898253709077835
51656,test,1656,45,48,0.18987567722797394
55361,test,5361,50,43,0.18989959359169006
52002,test,2002,33,37,0.19042454659938812
59460,test,9460,45,11,0.19043350219726562
52610,test,2610,46,84,0.19054287672042847
55869,test,5869,26,33,0.19074304401874542
51753,test,1753,89,8,0.19109633564949036
32282,train,32282,50,72,0.19153675436973572
52524,test,2524,23,12,0.1925143450498581
59595,test,9595,57,94,0.19293907284736633
54665,test,4665,56,40,0.19332647323608398
54749,test,4749,4,88,0.19350473582744598
6366,train,6366,64,74,0.19384248554706573
51804,test,1804,6,64,0.1938537061214447
17968,train,17968,25,5,0.19408796727657318
57751,test,7751,65,4,0.1943102777004242
55589,test,5589,44,1,0.194410502910614
21930,train,21930,26,26,0.19453085958957672
38972,train,38972,80,80,0.19453364610671997
33415,train,33415,44,44,0.19504645466804504
57993,test,7993,38,55,0.1952463835477829
54756,test,4756,13,76,0.19544969499111176
54728,test,4728,46,11,0.1957097351551056
58105,test,8105,55,55,0.19575895369052887
33584,train,33584,31,55,0.19600063562393188
59280,test,9280,2,2,0.1961773931980133
50118,test,118,57,57,0.196527898311615
59241,test,9241,36,77,0.19719162583351135
43339,train,43339,3,59,0.19753149151802063
56494,test,6494,93,93,0.1978132724761963
57379,test,7379,15,48,0.1979786902666092
58095,test,8095,93,7,0.19798718392848969
51280,test,1280,28,16,0.1980944275856018
54490,test,4490,32,65,0.1988406479358673
54867,test,4867,31,31,0.19886893033981323
51464,test,1464,48,13,0.19920702278614044
59677,test,9677,54,54,0.19940409064292908
50277,test,277,66,40,0.199892058968544
59085,test,9085,85,25,0.20021501183509827
51443,test,1443,27,73,0.20029599964618683
55712,test,5712,31,97,0.2005527913570404
56280,test,6280,8,48,0.2006867378950119
50901,test,901,85,85,0.20083817839622498
54301,test,4301,67,67,0.20206879079341888
13403,train,13403,18,96,0.20308715105056763
12908,train,12908,67,72,0.20315025746822357
54649,test,4649,64,64,0.2034173607826233
56080,test,6080,34,42,0.2034982442855835
50564,test,564,63,63,0.20384955406188965
54971,test,4971,42,68,0.20385026931762695
52725,test,2725,95,95,0.20401854813098907
52036,test,2036,80,80,0.20422755181789398
14324,train,14324,74,19,0.2044144868850708
53143,test,3143,4,3,0.20459085702896118
15687,train,15687,54,54,0.2046746164560318
57406,test,7406,9,40,0.20482079684734344
52050,test,2050,29,3,0.2050563246011734
7865,train,7865,26,88,0.2052852064371109
1920,train,1920,28,16,0.20529788732528687
58623,test,8623,46,17,0.20555834472179413
57404,test,7404,27,88,0.2062540501356125
51179,test,1179,38,8,0.206271693110466
50979,test,979,75,68,0.20674698054790497
56981,test,6981,22,22,0.20674897730350494
51769,test,1769,27,79,0.20694184303283691
31295,train,31295,64,3,0.20712411403656006
28909,train,28909,21,21,0.207182839512825
59464,test,9464,95,72,0.2072654515504837
40896,train,40896,80,77,0.20747110247612
9652,train,9652,36,36,0.2074974924325943
52165,test,2165,49,17,0.20779292285442352
51192,test,1192,72,80,0.20783211290836334
59141,test,9141,40,87,0.20830084383487701
10781,train,10781,29,40,0.2084241509437561
58651,test,8651,91,23,0.20859359204769135
46364,train,46364,45,83,0.20868614315986633
49347,train,49347,93,93,0.20902955532073975
31447,train,31447,84,28,0.20953986048698425
54559,test,4559,19,74,0.20987069606781006
56891,test,6891,30,73,0.21007253229618073
54523,test,4523,50,76,0.21025218069553375
2559,train,2559,10,55,0.21049365401268005
53934,test,3934,31,56,0.21085143089294434
55330,test,5330,44,57,0.21097752451896667
15310,train,15310,34,72,0.21101631224155426
12709,train,12709,16,9,0.21144326031208038
2993,train,2993,55,55,0.21164269745349884
59909,test,9909,31,31,0.21171928942203522
57793,test,7793,29,44,0.2117474228143692
54419,test,4419,19,19,0.21186916530132294
6745,train,6745,18,18,0.21191762387752533
39248,train,39248,50,50,0.21194756031036377
53647,test,3647,72,60,0.21287788450717926
54724,test,4724,66,72,0.2128794640302658
57802,test,7802,25,5,0.21307851374149323
6919,train,6919,67,30,0.21345658600330353
56483,test,6483,64,15,0.21399907767772675
59375,test,9375,25,95,0.21404977142810822
59820,test,9820,32,63,0.21411098539829254
58216,test,8216,74,26,0.21413078904151917
50761,test,761,25,20,0.2144959270954132
32165,train,32165,77,12,0.21458332240581512
54151,test,4151,10,16,0.21505096554756165
34935,train,34935,59,59,0.21505823731422424
55166,test,5166,28,9,0.21564893424510956
51370,test,1370,92,92,0.21566997468471527
57018,test,7018,27,55,0.21585454046726227
59212,test,9212,94,46,0.21601417660713196
25619,train,25619,72,95,0.2162485271692276
50222,test,222,76,23,0.2163839191198349
37238,train,37238,4,4,0.21668098866939545
55679,test,5679,0,83,0.21759936213493347
50547,test,547,54,54,0.2178351879119873
58504,test,8504,42,42,0.21814478933811188
55777,test,5777,39,39,0.2185608595609665
53892,test,3892,84,84,0.21864017844200134
53761,test,3761,44,1,0.21872437000274658
56137,test,6137,52,52,0.2187550961971283
53069,test,3069,27,27,0.21930624544620514
52244,test,2244,67,72,0.21932882070541382
55707,test,5707,36,3,0.21938443183898926
59417,test,9417,26,79,0.21944060921669006
50902,test,902,15,15,0.21958382427692413
3202,train,3202,73,73,0.21978172659873962
51820,test,1820,51,66,0.21979863941669464
54801,test,4801,31,31,0.21989911794662476
59260,test,9260,32,51,0.22007615864276886
53133,test,3133,36,36,0.22010184824466705
52329,test,2329,47,47,0.22050411999225616
53437,test,3437,18,2,0.22051768004894257
44931,train,44931,37,68,0.22065608203411102
2519,train,2519,27,27,0.22076183557510376
54240,test,4240,72,55,0.22081218659877777
23151,train,23151,27,96,0.22122374176979065
52237,test,2237,44,27,0.22146151959896088
30466,train,30466,37,84,0.22155968844890594
36264,train,36264,12,81,0.22166481614112854
59553,test,9553,64,63,0.22187691926956177
57727,test,7727,57,83,0.22196315228939056
54204,test,4204,61,22,0.2220114767551422
45828,train,45828,26,48,0.2220214456319809
53688,test,3688,3,30,0.22221779823303223
52413,test,2413,49,49,0.22234421968460083
59133,test,9133,49,49,0.22237855195999146
58639,test,8639,84,40,0.2224034070968628
54888,test,4888,8,8,0.22242788970470428
58223,test,8223,14,53,0.22297759354114532
50287,test,287,38,21,0.22299769520759583
50960,test,960,74,50,0.22369444370269775
32822,train,32822,26,67,0.22439633309841156
56763,test,6763,74,35,0.22479692101478577
56118,test,6118,27,27,0.22523191571235657
40558,train,40558,4,3,0.22543278336524963
59459,test,9459,4,63,0.22575289011001587
50362,test,362,33,33,0.22606289386749268
55381,test,5381,31,31,0.22620134055614471
46643,train,46643,16,16,0.22623571753501892
56034,test,6034,61,16,0.226360023021698
51272,test,1272,5,87,0.22667436301708221
52998,test,2998,44,78,0.22678601741790771
57757,test,7757,32,35,0.22700536251068115
57515,test,7515,10,61,0.22728195786476135
35114,train,35114,26,93,0.22732369601726532
28076,train,28076,38,65,0.2273702770471573
44384,train,44384,80,80,0.22801153361797333
25674,train,25674,51,51,0.22806239128112793
27607,train,27607,4,3,0.22854776680469513
47050,train,47050,45,86,0.22854876518249512
57719,test,7719,47,59,0.22859205305576324
50603,test,603,80,80,0.22878031432628632
14339,train,14339,36,1,0.22886551916599274
50477,test,477,42,38,0.22888486087322235
50576,test,576,65,26,0.22910895943641663
59217,test,9217,5,39,0.2292826920747757
50448,test,448,55,55,0.22982807457447052
56889,test,6889,84,94,0.230103999376297
56005,test,6005,47,96,0.230190709233284
24586,train,24586,95,95,0.23033536970615387
58230,test,8230,73,78,0.23075726628303528
1360,train,1360,26,45,0.2309778928756714
54568,test,4568,25,5,0.231022447347641
57434,test,7434,19,19,0.23134049773216248
52261,test,2261,4,63,0.23141156136989594
57556,test,7556,92,62,0.23167477548122406
34535,train,34535,15,49,0.23192660510540009
25743,train,25743,12,12,0.23201307654380798
57351,test,7351,30,72,0.23210538923740387
58207,test,8207,86,76,0.2321198433637619
59837,test,9837,29,95,0.23260053992271423
27886,train,27886,81,85,0.23266607522964478
51319,test,1319,49,40,0.23273241519927979
32691,train,32691,27,72,0.23298846185207367
51476,test,1476,3,4,0.23304472863674164
56622,test,6622,26,85,0.233088418841362
59491,test,9491,37,90,0.23330478370189667
16766,train,16766,55,75,0.2335502654314041
55584,test,5584,70,54,0.23360171914100647
15042,train,15042,7,50,0.2336263656616211
25647,train,25647,73,69,0.2336529642343521
57475,test,7475,80,80,0.23369553685188293
52278,test,2278,3,10,0.23370149731636047
56486,test,6486,14,22,0.2340700477361679
20172,train,20172,45,83,0.2344137281179428
57114,test,7114,98,98,0.23441651463508606
13865,train,13865,97,80,0.23442363739013672
53086,test,3086,63,19,0.2347348928451538
59111,test,9111,55,55,0.23492899537086487
52256,test,2256,27,18,0.23495732247829437
56732,test,6732,6,6,0.2353442907333374
54278,test,4278,42,72,0.23560966551303864
54051,test,4051,45,45,0.23569203913211823
59285,test,9285,3,3,0.2356986105442047
53019,test,3019,38,27,0.2357611209154129
55588,test,5588,75,3,0.23582930862903595
50709,test,709,29,52,0.23583729565143585
38453,train,38453,55,74,0.23600341379642487
24005,train,24005,35,98,0.23604948818683624
3917,train,3917,31,63,0.23628534376621246
22335,train,22335,67,87,0.23699995875358582
57445,test,7445,15,3,0.23701030015945435
52207,test,2207,22,76,0.23732276260852814
27780,train,27780,54,92,0.2373262643814087
53657,test,3657,78,25,0.23736542463302612
52786,test,2786,27,93,0.23751182854175568
54661,test,4661,71,23,0.23771317303180695
56919,test,6919,54,84,0.23772773146629333
8645,train,8645,55,30,0.23779746890068054
56190,test,6190,74,96,0.2378246784210205
32304,train,32304,57,84,0.23823323845863342
54670,test,4670,39,23,0.23858200013637543
55447,test,5447,67,73,0.23868213593959808
34679,train,34679,67,40,0.23892053961753845
56803,test,6803,57,0,0.23906706273555756
51917,test,1917,24,79,0.2391071319580078
59229,test,9229,45,93,0.2397691011428833
54539,test,4539,32,65,0.2399897575378418
56401,test,6401,42,42,0.24013832211494446
58285,test,8285,31,33,0.24023069441318512
46628,train,46628,61,61,0.24055500328540802
55013,test,5013,93,93,0.24077342450618744
52474,test,2474,23,76,0.24083934724330902
44390,train,44390,84,84,0.24083943665027618
30323,train,30323,66,25,0.24100419878959656
57150,test,7150,50,3,0.2416040301322937
56450,test,6450,78,78,0.24175570905208588
56284,test,6284,80,80,0.24210047721862793
9072,train,9072,51,56,0.24210792779922485
59795,test,9795,10,10,0.2426314800977707
53151,test,3151,63,74,0.24267183244228363
51102,test,1102,80,74,0.2427521049976349
54406,test,4406,52,68,0.24279266595840454
40200,train,40200,2,98,0.24290911853313446
52312,test,2312,93,93,0.24298736453056335
59516,test,9516,25,71,0.24301160871982574
51325,test,1325,6,6,0.24334225058555603
42072,train,42072,62,62,0.24348275363445282
8133,train,8133,6,6,0.24358229339122772
58824,test,8824,35,98,0.24391625821590424
9831,train,9831,87,87,0.24400781095027924
13696,train,13696,87,87,0.24402467906475067
45903,train,45903,38,64,0.2451932430267334
54684,test,4684,46,46,0.2452215999364853
52253,test,2253,7,18,0.24557024240493774
54761,test,4761,95,65,0.2462061494588852
54818,test,4818,9,25,0.24631936848163605
55856,test,5856,73,30,0.2463490217924118
50865,test,865,10,16,0.24642084538936615
52351,test,2351,25,20,0.24645446240901947
50113,test,113,0,0,0.24666374921798706
58177,test,8177,37,21,0.24679920077323914
20157,train,20157,51,3,0.24680852890014648
26248,train,26248,33,64,0.24690347909927368
59851,test,9851,50,64,0.2470577359199524
51408,test,1408,8,8,0.2473347932100296
51068,test,1068,72,55,0.24748368561267853
32396,train,32396,88,3,0.2478853315114975
23543,train,23543,15,17,0.24796675145626068
52318,test,2318,65,57,0.248207226395607
7366,train,7366,38,11,0.24828903377056122
52370,test,2370,64,64,0.24835778772830963
51084,test,1084,42,42,0.2489379346370697
16383,train,16383,78,78,0.2492741048336029
58934,test,8934,27,29,0.24937885999679565
45463,train,45463,65,65,0.24939152598381042
21001,train,21001,49,49,0.2498086392879486
41777,train,41777,29,27,0.2500005066394806
51801,test,1801,55,55,0.2500312626361847
50035,test,35,73,91,0.2502315044403076
25285,train,25285,99,1,0.25043776631355286
24766,train,24766,72,72,0.2506704032421112
50153,test,153,59,60,0.2509188652038574
53142,test,3142,67,67,0.2513970732688904
58865,test,8865,70,24,0.25143155455589294
56061,test,6061,42,50,0.25164860486984253
53508,test,3508,16,83,0.2516605854034424
42951,train,42951,84,5,0.25181469321250916
54349,test,4349,3,55,0.2518478333950043
14748,train,14748,79,79,0.2518632709980011
52377,test,2377,32,1,0.2519918978214264
20518,train,20518,90,9,0.25227266550064087
50374,test,374,87,94,0.25236499309539795
57256,test,7256,4,96,0.25251829624176025
54778,test,4778,63,42,0.2527645230293274
57029,test,7029,49,49,0.2527883052825928
57424,test,7424,70,70,0.25291043519973755
56128,test,6128,59,98,0.2531619071960449
53512,test,3512,70,83,0.2531939744949341
58895,test,8895,67,91,0.25410494208335876
58282,test,8282,88,33,0.25427770614624023
17803,train,17803,73,95,0.25435134768486023
50396,test,396,3,55,0.25452563166618347
44261,train,44261,50,50,0.25475597381591797
52803,test,2803,35,26,0.2551477253437042
52849,test,2849,4,4,0.2551775574684143
51626,test,1626,64,3,0.25519126653671265
59751,test,9751,55,3,0.25548049807548523
40619,train,40619,41,89,0.2555290460586548
59879,test,9879,73,30,0.25558924674987793
55293,test,5293,15,51,0.25562289357185364
50134,test,134,33,2,0.256162166595459
59817,test,9817,37,59,0.2562975287437439
57804,test,7804,10,10,0.25633496046066284
52671,test,2671,4,72,0.2572208642959595
50586,test,586,7,92,0.25749313831329346
32485,train,32485,65,65,0.2575092017650604
51887,test,1887,80,63,0.257540762424469
50483,test,483,41,41,0.2580864727497101
58702,test,8702,80,80,0.2581254243850708
57805,test,7805,55,15,0.25833579897880554
56711,test,6711,79,26,0.2586991488933563
31978,train,31978,6,24,0.25896939635276794
54919,test,4919,49,71,0.2590012848377228
59952,test,9952,74,80,0.2592023015022278
57102,test,7102,84,84,0.25932735204696655
51633,test,1633,84,84,0.2593313455581665
20652,train,20652,46,11,0.25976336002349854
58634,test,8634,97,96,0.2598954141139984
50257,test,257,31,75,0.25993335247039795
55020,test,5020,13,12,0.25999927520751953
56538,test,6538,31,63,0.2600911855697632
1675,train,1675,36,64,0.2605307698249817
54650,test,4650,69,69,0.2605476379394531
53079,test,3079,24,24,0.26124119758605957
23225,train,23225,95,72,0.26124751567840576
20646,train,20646,67,32,0.26142993569374084
38303,train,38303,91,91,0.2615053057670593
34962,train,34962,65,67,0.26158690452575684
56680,test,6680,55,18,0.2616346478462219
55035,test,5035,84,84,0.26175880432128906
5216,train,5216,27,18,0.2620130479335785
55947,test,5947,80,80,0.2620294690132141
58339,test,8339,40,40,0.26210299134254456
51609,test,1609,2,11,0.26228007674217224
51822,test,1822,65,64,0.26231902837753296
59957,test,9957,45,88,0.26236847043037415
57986,test,7986,92,70,0.26240426301956177
7234,train,7234,0,53,0.26243725419044495
12054,train,12054,59,33,0.26244884729385376
51000,test,1000,65,2,0.26258912682533264
56761,test,6761,98,98,0.26270437240600586
59060,test,9060,26,23,0.26282110810279846
50006,test,6,15,15,0.26284071803092957
54548,test,4548,43,64,0.26336368918418884
55173,test,5173,27,95,0.2634403109550476
57230,test,7230,65,65,0.2636590301990509
52704,test,2704,63,38,0.2637580931186676
54945,test,4945,31,23,0.26436498761177063
2811,train,2811,18,29,0.26452893018722534
27578,train,27578,10,61,0.26477956771850586
57068,test,7068,38,38,0.2649386525154114
56266,test,6266,27,27,0.26497572660446167
25583,train,25583,7,53,0.2650104761123657
55999,test,5999,55,72,0.2650144100189209
59323,test,9323,46,46,0.2654246985912323
9018,train,9018,40,16,0.26553699374198914
55420,test,5420,95,30,0.26566076278686523
52573,test,2573,4,4,0.2658118009567261
19379,train,19379,63,72,0.2658655047416687
51889,test,1889,13,16,0.26611319184303284
54199,test,4199,73,73,0.2662000358104706
53009,test,3009,42,42,0.26637712121009827
42070,train,42070,99,99,0.26693737506866455
57146,test,7146,89,21,0.2673642635345459
50163,test,163,10,10,0.2675632834434509
20670,train,20670,59,59,0.2676438093185425
53185,test,3185,55,55,0.2676575183868408
57326,test,7326,50,36,0.2680515944957733
29441,train,29441,25,25,0.2686244547367096
1175,train,1175,65,80,0.2687801122665405
56157,test,6157,36,98,0.26899152994155884
11140,train,11140,36,64,0.26903778314590454
34337,train,34337,67,82,0.26929721236228943
13248,train,13248,79,79,0.26941660046577454
58806,test,8806,16,16,0.26979389786720276
57185,test,7185,63,65,0.2698662281036377
51287,test,1287,35,11,0.26993030309677124
18098,train,18098,55,33,0.2699613869190216
58261,test,8261,63,4,0.2700319290161133
59880,test,9880,58,58,0.27031224966049194
50159,test,159,4,80,0.27049410343170166
59042,test,9042,4,4,0.270509272813797
58083,test,8083,27,27,0.2705143988132477
52245,test,2245,28,23,0.27084267139434814
9431,train,9431,41,41,0.27128827571868896
57697,test,7697,33,33,0.2716042399406433
56062,test,6062,17,90,0.27174609899520874
55168,test,5168,44,96,0.27179500460624695
17109,train,17109,46,76,0.27182573080062866
5109,train,5109,11,43,0.272440642118454
53091,test,3091,10,7,0.2724696695804596
58004,test,8004,10,16,0.2725837826728821
51240,test,1240,38,75,0.27281564474105835
3762,train,3762,79,79,0.27286282181739807
50920,test,920,80,93,0.2728705108165741
37646,train,37646,35,98,0.2728966176509857
50181,test,181,64,64,0.272907555103302
58269,test,8269,47,47,0.27329280972480774
51439,test,1439,17,17,0.27333298325538635
50888,test,888,96,96,0.27378103137016296
55446,test,5446,31,31,0.2742697298526764
57341,test,7341,61,57,0.2743522822856903
53844,test,3844,54,53,0.2743856906890869
56281,test,6281,29,44,0.27442073822021484
43791,train,43791,27,27,0.2744908630847931
59316,test,9316,40,76,0.2747207283973694
19161,train,19161,65,65,0.2749081552028656
55897,test,5897,35,98,0.2751559913158417
10263,train,10263,65,80,0.2752312421798706
33352,train,33352,45,26,0.2755327522754669
51673,test,1673,98,46,0.27557826042175293
50951,test,951,45,28,0.2757863700389862
